eid,name,location,office_cmte,party,election_type,year,search_location
503747,"DEVANEY, PATRICK SR",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
502876,"ELGARHI, OMAR",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503034,"ENIQUEZ-RADA, MELISSA",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503456,"FIERMONTE, KAREN",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503283,"GILLEN, THOMAS",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
505610,"GILLEN, TOMMY",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,RUNOFF,2026,BAYONNE CITY
504236,"DE OLIVEIRA, ACACIO",EAST NEWARK BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,EAST NEWARK BOROUGH
505589,ZINCAVAGE & DE OLIVEIRA,EAST NEWARK BOROUGH,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,EAST NEWARK BOROUGH
504237,"ZINCAVAGE, JEANNE",EAST NEWARK BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,EAST NEWARK BOROUGH
504246,"HOKIEN, WILLIAM",GUTTENBERG TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,GUTTENBERG TOWN
504238,"MALAVE, JUANA",GUTTENBERG TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,GUTTENBERG TOWN
504240,"DIACO, JOSEPH",HARRISON TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,HARRISON TOWN
504242,"DORAN, JAMES P",HARRISON TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,HARRISON TOWN
461382,"FIFE, JAMES A",HARRISON TOWN,MAYOR,DEMOCRAT,PRIMARY,2026,HARRISON TOWN
504239,"HUARANGA, JESUS R",HARRISON TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,HARRISON TOWN
503630,"RITORTO, DOMINICK",HARRISON TOWN,MAYOR,INDEPENDENT,GENERAL,2026,HARRISON TOWN
503783,"VERILE, MICHAEL P",HARRISON TOWN,MUNICIPAL OFFICE,INDEPENDENT,GENERAL,2026,HARRISON TOWN
504241,"WOODS, JAMES T",HARRISON TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,HARRISON TOWN
504243,"BALCAZAR, ZAYDA",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
503572,"BONILLA, SARAH",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
504244,"HUANCAYA, JULIO",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
504245,"MIRANDA, ORLANDO",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
504247,"SHEA, EDMUND J",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
503571,"SOLANO, DENNIS",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
481935,"THEODOROPOULOS, STATHIS",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,KEARNY TOWN
502820,"THEODOROPOULOS, STATHIS",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
503573,ZAPATA SOLANO BONILLA & THEODOROPOULOS,KEARNY TOWN,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
503570,"ZAPATA, GEORGE A",KEARNY TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,KEARNY TOWN
505051,HECTOR JIMENEZ & PATEL,NORTH BERGEN TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NORTH BERGEN TOWNSHIP
503499,"HECTOR, LORGIA",NORTH BERGEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NORTH BERGEN TOWNSHIP
503500,"JIMENEZ, KARINA",NORTH BERGEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NORTH BERGEN TOWNSHIP
503501,"PATEL, KANAIYALAL",NORTH BERGEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NORTH BERGEN TOWNSHIP
448967,"CLANCY, JAMES",SECAUCUS TOWN,MUNICIPAL OFFICE,INDEPENDENT,GENERAL,2026,SECAUCUS TOWN
448968,GERBASIO TRINGALI & CLANCY,SECAUCUS TOWN,JOINT CANDIDATES CMTE,INDEPENDENT,GENERAL,2026,SECAUCUS TOWN
448965,"GERBASIO, JOHN",SECAUCUS TOWN,MUNICIPAL OFFICE,INDEPENDENT,GENERAL,2026,SECAUCUS TOWN
448966,"TRINGALI, ORIETTA",SECAUCUS TOWN,MUNICIPAL OFFICE,INDEPENDENT,GENERAL,2026,SECAUCUS TOWN
503107,"FERNANDEZ, LUCIO P",UNION CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503106,"GRULLON, WENDY A",UNION CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503105,"MARTINETTI, MARYURY A",UNION CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503109,STACK MARTINETTI GRULLON FERNANDEZ & VALDIVIA,UNION CITY,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503104,"STACK, BRIAN P",UNION CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503108,"VALDIVIA, CELIN J",UNION CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,UNION CITY
503611,"CABRERA, LINDA",WEEHAWKEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEEHAWKEN TOWNSHIP
503610,"CANNATA, JOHN",WEEHAWKEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEEHAWKEN TOWNSHIP
466035,"CURTIS, DAVID J",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
503624,"IORDAMLIS, TINA",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
505315,"MANUEL, EMILY",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
503623,"MORALES-JENNINGS, SUSAN",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
503612,"PINAL, RICHARD",WEEHAWKEN TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEEHAWKEN TOWNSHIP
466033,"SILVESTRI-EHRET, CARMELA",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
466036,"SOSA, ROBERT J",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
466037,TURNER SILVESTRI-ERHET CURTIS & SOSA,WEEHAWKEN TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
466032,"TURNER, RICHARD F",WEEHAWKEN TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,WEEHAWKEN TOWNSHIP
503613,"CODINA, HENRY",WEST NEW YORK TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEST NEW YORK TOWNSHIP
503614,"JOVER, AYLEN",WEST NEW YORK TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEST NEW YORK TOWNSHIP
503615,"PFEIL, SANDRA",WEST NEW YORK TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,WEST NEW YORK TOWNSHIP
